Module,Status,Risk,Reason,Action
main_terminal.py,Keep,Medium,"Current production CLI entry point; compiles, imports, and runs cleanly.","Retain as primary entry point."
main_terminal_Claude.py,Remove,Medium,"Legacy alternate CLI file with overlapping responsibility and drift risk.","Archive or delete."
core/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
core/config.py,Keep,Low,"Central configuration module; stable purpose.","Retain."
core/data_fetcher.py,Keep,Medium,"Core market data pipeline; important and working, but network-sensitive.","Retain and continue hardening with mocks/tests."
core/market_data_engine.py,Keep,Medium,"Additive premium data layer; imports cleanly and fits architecture.","Retain."
core/backtester.py,Keep,Medium,"Core backtesting engine; central and usable.","Retain."
core/advanced_backtester.py,Keep,Medium,"Useful additive strategy comparison wrapper.","Retain."
core/nse_universe.py,Improve,Medium,"Useful symbol/universe helper but more exposed to live-site/network variability.","Improve retry/fallback handling."
core/utils.py,Keep,Low,"General utility layer is stable and tested.","Retain."
core/reporting.py,Keep,Low,"Reporting/export helpers are additive and clean.","Retain."
core/risk_management.py,Keep,Low,"Simple focused module with clear purpose.","Retain."
technical/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
technical/moving_averages.py,Keep,Low,"Stable indicator logic and good fit for core analysis.","Retain."
technical/momentum.py,Keep,Low,"Working momentum calculations with test coverage.","Retain."
technical/volatility.py,Keep,Low,"Usable volatility engine with graceful behavior.","Retain."
technical/breakout.py,Keep,Low,"Core breakout detection logic is working.","Retain."
technical/support_resistance.py,Keep,Medium,"Working module, though outputs are simple tuple/dict style and should stay consistent.","Retain and keep API stable."
technical/trend_detection.py,Keep,Low,"Strong module; handles prior MultiIndex/pandas pitfalls.","Retain."
technical/vwap.py,Keep,Low,"Focused technical helper with no audit issue found.","Retain."
technical/volume_profile.py,Keep,Low,"Usable technical module.","Retain."
technical/supertrend.py,Keep,Low,"Useful and aligned with project scope.","Retain."
technical/ichimoku.py,Keep,Low,"Useful and imports cleanly.","Retain."
technical/fibonacci.py,Keep,Low,"Working technical helper.","Retain."
technical/elliott_wave.py,Improve,Medium,"More heuristic and interpretation-heavy than core indicators.","Improve validation and output confidence framing."
technical/advanced_analysis.py,Improve,Medium,"Useful premium aggregation layer but more coupled across modules.","Improve interface consistency and guardrails."
fundamentals/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
fundamentals/financials.py,Keep,Medium,"Good structural module for financial/ohlcv handling.","Retain."
fundamentals/ratios.py,Keep,Medium,"Broad module with many calculations; useful and working.","Retain."
fundamentals/valuation.py,Keep,Medium,"Important valuation engine; suitable to keep.","Retain."
fundamentals/peer_comparison.py,Keep,Medium,"Useful analytics layer; imports cleanly.","Retain."
fundamentals/analysis_engine.py,Improve,Medium,"Good structure but depends on inferred inputs instead of real statement ingestion.","Improve with real data pipeline later."
ai/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
ai/signal_model.py,Keep,Medium,"Core AI signal logic is part of active analysis flow.","Retain."
ai/ranking_engine.py,Keep,Medium,"Important scoring engine and currently stable.","Retain."
ai/price_prediction.py,Keep,Medium,"Usable prediction helper with moderate risk.","Retain."
ai/premium_scoring.py,Keep,Low,"Additive premium scoring layer; structurally sound.","Retain."
ai/sentiment_model.py,Improve,Medium,"Dependency/runtime sensitivity is higher than rule-based modules.","Improve fallback behavior and dependency isolation."
ai/random_forest_signal.py,Improve,Medium,"Useful ML module but operationally heavier and more failure-prone.","Keep optional and improve production safeguards."
ai/lstm_predictor.py,Improve,High,"Heavier dependency stack and runtime complexity.","Treat as optional/research-grade unless hardened."
ai/reinforcement_agent.py,Improve,High,"Research-style component with higher stability and reliability risk.","Keep optional and isolate from main production path."
portfolio/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
portfolio/optimizer.py,Keep,Medium,"Useful portfolio engine with practical value.","Retain."
portfolio/premium_optimizer.py,Keep,Low,"Additive optimizer/reporting module; clean role.","Retain."
portfolio/sharpe_ratio.py,Keep,Low,"Simple focused metric helper.","Retain."
portfolio/sortino_ratio.py,Keep,Low,"Simple focused metric helper.","Retain."
scanners/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
scanners/breakout_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/momentum_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/swing_scanner.py,Keep,Medium,"Usable scanner with richer logic.","Retain."
scanners/value_scanner.py,Keep,Medium,"Useful value-oriented scanner.","Retain."
scanners/premium_scanners.py,Keep,Low,"Additive scanner aggregation layer.","Retain."
intelligence/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
intelligence/block_deals.py,Improve,Low,"Very simple heuristic; works but limited depth.","Improve logic if higher fidelity is needed."
intelligence/fii_dii.py,Improve,Low,"Helpful but only as good as supplied data.","Improve data handling if used more heavily."
intelligence/insider_trading.py,Improve,Low,"Simple rule-based logic; not broken but basic.","Improve if stronger modeling is needed."
intelligence/promoter_pledge.py,Improve,Low,"Simple heuristic; acceptable but limited.","Improve if decision-grade output is required."
intelligence/premium_news.py,Keep,Medium,"Useful premium news wrapper with graceful fallback.","Retain."
intelligence/news_sentiment.py,Broken,High,"File is empty and provides no usable functionality.","Implement properly or remove."
options/__init__.py,Keep,Low,"Package marker; no issue found.","Retain."
options/options_strategy_builder.py,Keep,Low,"Simple useful options helper.","Retain."
premium/__init__.py,Keep,Low,"Package marker for premium extension area.","Retain."
tests/conftest.py,Keep,Low,"Shared fixtures and test helpers are useful.","Retain."
tests/test_data_fetcher.py,Keep,Low,"Important reliability coverage for fetch/cache behavior.","Retain."
tests/test_validation.py,Keep,Low,"Good coverage for validation and symbol normalization.","Retain."
tests/test_moving_averages.py,Keep,Low,"Covers core indicator math.","Retain."
tests/test_momentum.py,Keep,Low,"Covers momentum indicator behavior.","Retain."
tests/test_volatility.py,Keep,Low,"Covers volatility module outputs.","Retain."
tests/test_breakout.py,Keep,Low,"Covers breakout logic and bounds.","Retain."
tests/test_support_resistance.py,Keep,Low,"Covers S/R outputs.","Retain."
tests/test_trend_detection.py,Keep,Low,"Covers trend logic and MultiIndex safety.","Retain."
tests/test_scoring.py,Keep,Low,"Covers score ranges and bullish vs bearish behavior.","Retain."
tests/test_fundamentals.py,Keep,Low,"Covers fundamentals and portfolio helpers.","Retain."
tests/test_error_handling.py,Keep,Low,"Covers graceful failure cases.","Retain."
tests/test_integration_pipeline.py,Keep,Low,"Covers major analysis pipeline integration.","Retain."
tests/test_cli_flow.py,Keep,Low,"Covers main CLI resilience and no-traceback flows.","Retain."
tests/test_regression.py,Keep,Low,"Covers likely break-prone regressions.","Retain."
pytest.ini,Keep,Low,"Required pytest configuration file.","Retain."
requirements-dev.txt,Keep,Low,"Minimal dev dependency file for test setup.","Retain."
